attack,attack_type,aggressive,stealth,flame_evasion,defense,partition,runs,failed_runs,mean_accuracy,std_accuracy,mean_f1,std_f1,mean_asr,std_asr,mean_duration_sec
stealthy_ninja,backdoor,0,1,0,krum,dirichlet,3,3,,,,,,,
stealthy_ninja,backdoor,0,1,0,krum,iid,3,3,,,,,,,
stealthy_ninja,backdoor,0,1,0,krum,pathological,3,3,,,,,,,
stealthy_ninja,backdoor,0,1,0,median,dirichlet,3,3,,,,,,,
stealthy_ninja,backdoor,0,1,0,median,iid,3,3,,,,,,,
stealthy_ninja,backdoor,0,1,0,median,pathological,3,3,,,,,,,
stealthy_ninja,backdoor,0,1,0,multi_krum,dirichlet,3,3,,,,,,,
stealthy_ninja,backdoor,0,1,0,multi_krum,iid,3,3,,,,,,,
stealthy_ninja,backdoor,0,1,0,multi_krum,pathological,3,3,,,,,,,
stealthy_ninja,backdoor,0,1,0,sentinel,dirichlet,3,3,,,,,,,
stealthy_ninja,backdoor,0,1,0,sentinel,iid,3,3,,,,,,,
stealthy_ninja,backdoor,0,1,0,sentinel,pathological,3,3,,,,,,,
stealthy_ninja,backdoor,0,1,0,trimmed_mean,dirichlet,3,3,,,,,,,
stealthy_ninja,backdoor,0,1,0,trimmed_mean,iid,3,3,,,,,,,
stealthy_ninja,backdoor,0,1,0,trimmed_mean,pathological,3,3,,,,,,,
